Question,Answer,Category,Crop,QueryType
problem of frut fly in pumpkin.,advised him to apply malathion 50 ec or killer @ 2ml / litre of water.,General,General,General
asking about fertilizer dose of coconut,"recommended to apply urea @ 750 gm, ssp @ 1250gm mop @ 850gm and borux @  50gm",General,General,General
query regarding poultry infection,tetracyclin 2-3 gm/ lits of water liver tonic 5-8 ml/ lits of water,General,General,General
query regarding poultry infection,tetracyclin powder 3-4 gm/ lits of water liver tonic 5-8 ml/lits of qater,General,General,General
asking about the control measure for bacterial wilt in chilli,"recommended to spray crystocycline,1 gram/10 lit water",General,General,General
asking about the rate /lit water for glyphosate(herbicide) application,recommended dose 15 ml/lit water,General,General,General
asking variety of chilli,"recommended to cultivate varieties like pusa jwala , np 46a and local varieties like suryamukhi, krishna and balijuri",General,General,General
asking about the fertlizer dose for chilli,"recommended to apply dried cowdung,urea 15 kg basal dose/bigha(15 kg urea after 30 days of planting),ssp 50 kg/bigha as basal dose,mop 9 kg/bigha as basal dose.",General,General,General
asking about the control measure of bud rot in arecanut,suggested him to spray bavistin @1gm/lit of water,General,General,General
asking about the control measure of fruit borer in bitter gourd,suggested him to spray malathion @2ml/lit of water,General,General,General
asking about liming and fertilizer does in pond,"recommended that application of lime@10kg/bigha,urea@10kg/bigha,ssp@20kg/bigha",General,General,General
control of fungal wilt in pointed gourd,recommended him to spray saaf @ 2 gm/lit of water,General,General,General
control measure of turbidity,apply 70kg of lime in the pond,General,General,General
asking about papaya query,"recommended that application of urea@100gm,ssp@150gm,potash@80gm",General,General,General
farmer want to know information about how to control of fungal attack in parval  crop?,recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water,General,General,General
treatment of banana plant before planting,soaked the roots of the banana plant in the mud and then apply furadon @ 40 gm per plant,General,General,General
query regarding sugarcane variety,ask to inform in district agriculture office,General,General,General
want to know about jasmine cultivation,explain in detail,General,General,General
asking about weed management in jute,recommended to apply fluchloralin @ 200 g per bigha,General,General,General
asking about cultural practices of sugarcane,"recommended to farmer
sowing time- i) early   : dec - jan  ii) mid : feb - march         iii) late: april - may
seed rate-10000 seets per bigha
sett treatment-select healthy setts for planting.
the setts should be soaked in 100 litres of water dissolved with 50g carbendazim, 200ml malathion and 1 kg urea for 15 minutes.
treat setts with aerated steam at 50°c for one hour to control primary infection of grassy shoot disease.
fertilizer-urea- 35 kg ssp- 45 kg mop- 25 kg
spacing - 1.5 x 1.5 m",General,General,General
query regarding insect problem in pumpkin,advice him to spray malathion 50 ec @ 2ml/litres of water,General,General,General
asking about fertilizer does in chilli,recommended that application of urea@15kg,General,General,General
asking about citrus trunk borer problem in citrus,suggested to apply divap 100 @ 2ml per litre of water,General,General,General
asking about the control measure for fruit fly in ridge gourd,"recomended to spray malathion 50 ec(killer),2 ml/lit water mix with the molasses(gur)10 gram/lit water",General,General,General
asking about the planting procedure of betel vine,advised to take cuttings from old plant .deep the cutting in rootex hormone and plant it in polythene sleeves.plant the cuttings after two months at the base of the arecanut plant  one and half feet away  .,General,General,General
asking about fertilizer dose of arecanut,"suggested fertilizer dose of arecanut as urea-100gm,ssp-150gm,mop-100gm,borax-25gm,compost-10kg.apply as ring method 1.5ft from the base of the plant.",General,General,General
asking about the planting procedure of arecanut,recommended to dig pit of size 1.5 ft at spacing 2.75 row to row and plant to plant.add dried cowdung and malathion 5 % dust 20 gram in each pit and mix it uniformly then plant the saplings,General,General,General
asking about the control measure of leaf yellowing in spine,suggested him to spray blitox @2gm/lit of water,General,General,General
asking spacing of arecanut,recommended him to 7 feet x 7 feet,General,General,General
asking about the control measure against stem borer in paddy.,advised to apply furadon 3 g @ 3 kg / bigha as directed.,General,General,General
planting materials for citrus,suggested to buy seedlings /sampling from reputed nursery . use dry cowdung mixed with soil in the pit. can use furadon/24d if soil born pest is seen before planting.,General,General,General
want to know pit preparation in arecanut cultivation,adviced him to use dried cowdung @ 5 kg per pit along with malathion 5 % dust @ 30 gm per pit,General,General,General
asking about control measure of termite in sugarcane,"recommended to farmer
management practices:
1. cultural method:
# flood irrigation at the time of planting because it stops termite attack due to excess moisture and the optimum moisture level will revive.
# fill the gaps in the field to compensate the population

2. physical method:
# locate and destroy the termite colony.
# collect and destroy the termite affected setts from the field.

3. chemical method:
# dip the setts in chlopyriphos 20 ec 0.04% for 5 min.
# treat the soil with furadon 3 g @ 3 kg per bigha",General,General,General
asking about the control measure for mango pulp weevil in mango,recommended to spray malathion 50 ec @ 2 ml/lit water,General,General,General
query regarding root rot of brinjal,advised to apply contaf @ 2gm/lit of water,General,General,General
asking about control measure of bacterial leaf spot,recommended to spray agrimycine @ 1 g per 10 lit of water + saaf @ 2 g per lit of water,General,General,General
call related toagriculture,"registered , transfered to agriculture expert",General,General,General
asking about the fertilizer dose of tomato,"suggested that the recommended fertilizer dose is like-urea @20 kilogram/bigha,ssp @50 kilogram/bigha,mop @14 kilogram/bigha. half dose of urea and full doses of ssp and mop, fym should be applied at the time of land preparation and remaining urea should be top dressed 30 days after planting.",General,General,General
asking about the control of early shoot borer in sugarcane,suggested him to spray furadon @ 3kg/ bigha,General,General,General
asking for control  root rot,recommended him to drench the soil with blitox-50 @ 1 gram per 5 litre of water,General,General,General
asking about spacing of mango,recommended to plant the seedling at spacing of 7 m x 7 m,General,General,General
asking about lemon query,"recommended that application of malathione 50ec@2ml/lit of waterand application of tracel,mohaphol@2ml/lit of water",General,General,General
asking about the variety of rice,"arize-6444,kanaklata ,dinanath",General,General,General
control of stem borer in paddy,spray classic 20 ec @ 2 ml per liter of water,General,General,General
query regarding breed of goat,assam hill goat black bengal beetal  etc goat mostly suffers in pnumonia ( infection in lung ) antibiotic can be given in such condition,General,General,General
asking about the control measure for panama wilt in banana,"recommended to pour bordueax mixture at the root zone(100 gram copper sulphate in 5 lit water ,100 gram lime in 5 lit water mix it in 3 rd container for 10 lit solution",General,General,General
asking about the remedy to reduce bitterness in ridge gourd,recommended to spray succinic acid @ 1gm/5 litres of water at 2-3 leaf stage and at the time of flower initiation,General,General,General
asking about control of panama disease in banana,suggested him to spray blitox @ 2gm/liter of water,General,General,General
if mix cultivation of arecanut and papaya can be done,mix cultivation of arecanut and papaya can be done .,General,General,General
asking about the transplanting medhod and fertilizer dose for paddy,"recommended to adopt sri system of planting.fertilizwer dose;urea 12 kg/bigha,ssp 17 kg/bigha,mop 9 kg/bigha,zinc sulphate 1.5 kg/bigha and dried cowdung 4 cart load /bigha",General,General,General
asking about control measure of banana aphid,recommended to spray chloropyriphos 20 ec @ 2 ml per lit of water,General,General,General
shoot borer in brinjal.,advised to spray decis @ 1 ml/ liter water.,General,General,General
fruit fly in pointed  gourd,recommended to apply poison bait (malathion/divap 2ml + gur 20gm per litre of water) to control fruit fly in pointed  gourd,General,General,General
asking about oxygen deficiency in fish pond,recommended that swiming and biting water,General,General,General
asking about fertilizer dose in rice,recommended to apply urea- 18 kg ssp- 27 kg mop- 6 kg per bigha,General,General,General
query  regarding  broiler infection,recommanded to give  suldin solution  as directed,General,General,General
asking about the installation of tube well in field,advised to visit and contact do/ado for installation under the scheme pmksy,General,General,General
asking about the control measure of bud rot in arecanut,suggested him to apply blitox @2gm/lit of water,General,General,General
asking about the fertilizer doses in aeracanut,"150 gm urea ,220 gm ssp ,150 mop /plant +borax 25 gm +phorate 10g @ 20 gm / plant",General,General,General
asking about chilli query,recommended that applicatiopn of rogor@2ml/lit of water,General,General,General
query regarding root rot,advised to apply contaf  2gm/lit,General,General,General
query regarding supplement of nutrition in fish pond,advice him to apply minfa gold @ 1ogm/kg of feed daily,General,General,General
query regarding debility of some goat,dextrose 5 pc  infuse i/vly  anigest 30 gm -10 gm orally daily   pepsid 10 ml 1.5 ml i/ mly,General,General,General
query regarding fertilizer dose in saali paddy,"advice him to apply urea @ 17kg,ssp 35 kg, mop @ 9 kg/bigha of cultivated land",General,General,General
asking for control of root rot in papaya,recommended him to drench the soil with papaya @ 1 gram per 5 litre of water,General,General,General
asking him about the control of powdery mildew in lemon,told him to spray saaf @ 2gm / l of water,General,General,General
query regarding fruit scraping bettle,advised to apply nuvan  @ 2ml/lit,General,General,General
asking about the cultivation process and time planting of banana,recommended time of planting march-may.planting distance 1.8 mt both row and planting distance.pit size 45 cm-45 cm-45 cm.,General,General,General
query regarding management of two number of   kid,avid the cold floor to prevent pnumonia bottle feeding can be practised  if dam milk is not sufficient  after 15 days steclin bolus 2 nos- 1/2 bolus orally dailybolus orally daily,General,General,General
asking about the cultural practices in banana,"size pit - 45cm *45cm *45cm 
planting is generally done in pits .double planting (2 plants /pit)with a spacing of 1.8m *1.8m",General,General,General
asking about the control measure of powdery mildew in brinjal,suggested him to spray contaf @1ml/lit of water,General,General,General
asking aout the planting distance of banana plantation,told him  planting distance -1.8m *1.8m,General,General,General
"asking about the variety,fertilizer dose for hybrid maize","recommended to grow ganga-5 hybrid variety.apply urea 18 kg/bigha,ssp 33 kg/bigha,mop 9 kg/bigha,dry cowdung 3-4 cart load.",General,General,General
asking for control of army worm,recommended him to apply malathion 5% dust,General,General,General
asking for control of root rot in arecanut,recommended him to drench the soil with blitox-50 @ 1 gram per 5 litre of water,General,General,General
asking about control measure of weed,recommended to spray storm @ 1 ml per lit of water,General,General,General
asking for predicted waether,"coming 3 days will be cloudy sky; 6.0, 5.0, 7.0, 0.0 and 5.0 mm rainfall is predicted on  17th, 18th and 19th july‘2017 respectively. the maximum temp predicted is 34.0-37.0 oc and minimum of 24.0-27.0oc. the expected morning and evening rh will be 83-92% & 56-69 %, respectively. mostly east-south-easterly wind with a speed of 2-4 kmph is expected",General,General,General
asking about the control-measure of liver disfunction in cow,advice to administer livomarc syp @ 15-20 ml daily for 2-3 days at 15 days interval,General,General,General
asking about the fertilizer doses in banana,"suggested him to apply urea-15kg, ssp-35kg, mop-10kg per bigha",General,General,General
asking about the cultural practices of banana plantation,"planting is done in pits .double planting with a spacing of 1.8m*1.8m ,pit should be filled with fym along with top soil 
size of pit -45 cm *45cm*45cm 
apply furadon powder in a pit",General,General,General
asking for fertilizer requirement of a 5 month old banana plant.,advised to apply 120 gram urea and 275 gram potash at a distance of 2 feet around the plant as directed.,General,General,General
asking about the fertilizer doses in banana,told him about the fertilzer by the expert,General,General,General
asking about the root rot in lichi,told him to spray saaf @ 2gm / l of water,General,General,General
asking about sudden mortamility of chicks.,suggested to contact with nearest veterinarian immediately.,General,General,General
query regarding local chicken,furasol 2-3 gm / lits of water for 3 days  liver tonic and b complex as directed  ostocalcium for the laying local birds,General,General,General
asking about removal of green algae,recommended that application of lime @10kg/bigha,General,General,General
asking about the planting of coconut plant,advised him in detail cultivation practices,General,General,General
asking about fertilizer requirement of a 2 month old papaya plant.,advised to apply 250 gram urea 250 gram super and 250 gram potash per plant twice one after 2 months of planting and the same  amount should be applied  after first fruit set.,General,General,General
asking about arecanut query,recommended that application of borax @50gm/plant,General,General,General
asking about the nutrient management in flowers,told him to spray voom n @ 2gm / l of water,General,General,General
asking about ridge gourd query,recommended that application opf tracel2@2ml/lit of water,General,General,General
asking about the vetenery,not avialable,General,General,General
asking about cultural practices of banana,"recommended to farmer
seedling - select sword sucker without disease infestation
spacing- 1.8 m x 1.8 m
fertilizer- urea- 100 g ssp- 150 g mop- 90 g er plant
planting material - 440 plant per bigha",General,General,General
asking about the fertilizer dose in banana,"recommended to apply urea 150 gram/plant,ssp 250 gram/plant,mop 120 gram/plant,dry cowdung 5 kg after 2 months and 5 months of planting in ring method.",General,General,General
asking about brinjal query,recommended that application of desis @3ml/lit of water,General,General,General
asking about the control measure sigatoka in banana,suggested him to spray blitox @3 gm/lit of water,General,General,General
query regarding  shievering of a goat,stclin bolus 4 - 1/2 bolus orally bid   inject diacobal  i/ mly as directed  if goat shows rise of temperature give antipyretic either injectabe or oral form ( diacobal is not advisible  if pyrexia exist),General,General,General
asking about vitamin application in banana and regarding loan from bank,"recommended to use multiplex mahaphal for banana
kcc loan approach gramen bank or sbi for availing kcc loan",General,General,General
query regarding use of anthalmintic,anthalmintic can be use every six month of interval particularly prior to insemination in cow and after four month in new born,General,General,General
query regarding sericulture,suggested him to contact 9435041059 sinha sir,General,General,General
asking about nutrient management in rice,told him to apply 4kg urea after 30days and again 4kg urea after 50-60 days,General,General,General
query regarding water management in rice,advised to irrigate the crop and maintain at least 3cm of stagnant water,General,General,General
query regarding to increase height of sugarcane,suggested him to spray planofix@2ml/lit of water at 15 days interval,General,General,General
asking about nutrient in rice,told him spray npk 10g/lit of water after 30 days and again apply 5kg urea 60 days after traspanting,General,General,General
asking about fertilizer dose,recommended to apply urea- 150 g ssp- 250 g mop- 100 g per plant,General,General,General
query  regarding epitheliogenesis imperfecta,it is acongenital form of disease where skin fails to form  no line of treatment  plastic surgery can performed but too much expensive,General,General,General
asking about bunchy top disease of banana,suggested to spray rogor @ 2ml per litre of water,General,General,General
asking about the sowing time of arecanut.,advised him to take the sowing time in march april & september october.,General,General,General
asking about availability of rice seeds variety,suggested him to consult district agril. office or district kvk,General,General,General
asking about plant protection in ridge gourds,suggested him to spray blitox-50 @ 2gm/lit of water at 10 days interval on the leaves as well as in the base of the plants,General,General,General
asking about the control-measure of oedematous inflammation along with mild diarrohoea in calf,"advice to administer seri d forte bolus @ 1/2 bolus 2 times daily for 1-2 days,also administer marcozyl lm bolus @ 1/2 bolus 2 times daily for 2-3 days",General,General,General
asking about control measure of rice hispa,suggested him to spray tricel 20ec @ 2ml/lit of water at the morning hours,General,General,General
query regarding white fly in papaya,advised to apply tafgor/metador etc @ 2ml/lit,General,General,General
asking about the culttivation time of potato,told him in the month of september -october,General,General,General
asking about treatment of worms infestation in calf.,suggested to administer fantas plus 150 tab @ 1 tab/30 kg body weight.along with that administer liv-52 vet @ 5 ml twice daily.,General,General,General
asking control measure of brown plant hopper in rice,suggested him to spray chlorpyriphos 20ec@2ml/lit of water in the morning hours,General,General,General
call related to fishery,ask to inform after some time for therequired answer,General,General,General
ungal wilt of tomato.,advised to spray saaf or bavistin @ 2 gram / liter water.,General,General,General
asking about the control measure for root rot of tomato seedlings,recommended to spray roshan plus(hexaconazole)or contaf(hexaconazole) @ 1.5 ml/lit water.,General,General,General
asking about the fertilizer dose of arecanut,"suggested him to apply urea- 60 gm, ssp- 100 gm, and mop- 80 gm /plant",General,General,General
late blight of tomato.,advised to spray indofil m- 45 @ 2 gram/ liter water.,General,General,General
problem of rice hispa,advised him to apply chloropyriphose 20 ec ( tricel 20) @ 2 ml / litre of water.,General,General,General
asking about control measure of panama disease,recommended to spray saaf @ 2 g per lit of water,General,General,General
query regarding micronutrient for bottle gourd,advised to apply planofix @ 2ml/10lit and multiplex vegetable special @ 3gm/lit,General,General,General
asking dairy farm production,suggested him to consult kvk,General,General,General
asking about the nutrient management in cucumber,suggested him to spray planofix @1ml/ 5 lit of water,General,General,General
asking control measure of yellow stem borer in rice,suggested him to spray tricel-20ec @ 2ml/lit of water,General,General,General
asking about control measure of swarming caterpillar,suggested him spray 3ml/lit of water 3days interval for 3 days,General,General,General
asking about control measure of swarming catterpillar,told him spray desis 3ml/lit of water for 3 days and 3days interval,General,General,General
asking about fertilizer dose of banana,"told him apply urea55g,ssp 13g and mop 150g/plant after 3 months",General,General,General
asking about the control of root rot in brinjal,told him to spray roshan plus @ 2ml / l of water,General,General,General
asking about training of mushroom  cultivation,told him use oyster mushroom and contact to kvk,General,General,General
asking to control damping off in tomato,suggested him to drench the soil with captan @ 2gm/lit of water,General,General,General
asking about the control measure for aphids in tomamto,recommended to spray rogor 35 ec @ 2 ml/lit water.,General,General,General
asking about cultural practices of napier grass,"recommended to farmer
variety- co 3, co (cn) 4 and co (bn) 5
season - throughout the year under irrigated conditions in all districts
soil - all types of soils
seed rate - 33,333  two budded stem cuttings or rooted slips per ha
spacing - 60 x 50 cm",General,General,General
asking about source of planting material of napier grass,told him to contact kvk,General,General,General
query regarding broiler farming,"poultry shed  ,selection of breed , utensil & appliances ,feed , medicine , labour cost , electricity distance from road, direction of sunlight etc should be considered .",General,General,General
asking about control measure of fruit fly,told him spray malathion 2ml and 10g molasess mix with 1lit of water,General,General,General
query regarding broiler farming,"housing , cost  of pullet , electricity , feed cost ,medicine , direction of sunlight , distance from road etc should be considred prior to established a farm etc .",General,General,General
qery regarding  decrease  milk production,floraboost 20 nox -2 boli orally bid  ostocalcium & vimeral  as directed,General,General,General
asking to control fruit drop in tomato,suggested him to spray planofix @ 2ml/5lit of water,General,General,General
query regarding a  pig,floraboost bolus 10 nos - 1 bolus orally with anigest 30 gm - 15 gm bid,General,General,General
asking about control measure of bud rot in arecanut,told him apply bordeaux mixture copper sulphate 20g in 1 lit + lime 20 g in 1 lit mix well.after that both mixture mix in a one container,General,General,General
asking about the nutrient management in arecanut,told him to apply borax @ 20 gm / plant,General,General,General
asking about the method of transplanting of aonla sapling,"advised to dig a pit of size 1.5 ft length,breth and ht.apply vermicompost and malathion dust @ 15-20 gram/pit.transplant the sapling and press the base with soil after transplanting.",General,General,General
asking about the control measure for stem rot of bottle gourd,recommended to spray contaf(hexaconazole)@ 1.5 ml/lit water.,General,General,General
asking about the control measure of bacterial wilt in tomato,suggested him to spray streptomycine @1gm/10 lit of water,General,General,General
asking about control measure of gundhi bug,recommended to apply malathion 5 % @ 5 kg per bigha,General,General,General
asking about the variety for bottle gourd,"suggested him to buy seed from syngenta, mahico and east west company",General,General,General
query  regarding a newborn calf,"give colostrum ad. libitum for four days  after 1 days meconium will come out ,",General,General,General
asking about control measure of yellow mosaic of cucumber,told him spray malathion 2ml/lit of water,General,General,General
asking about root rot in tomato,told him spay contaf or ropshon plus 1.5 ml/lit of water,General,General,General
asking about control of leaf curl of tomato,recommended to spray rogor @ 2ml/l water for 3 days at 3days interval,General,General,General
asking about fertilizer in banana,"told him 50g urea,ssp 20g and mop 53g, borax 6g/plant",General,General,General
query  regarding oestrous of a cow,use anthalmintic prior to inseminate intamox 2.5 mg i/ m ly with dexona as directed    give b complex injection every on alternate day observe the heat symptom & inseminate at proper time,General,General,General
query regarding  anoestrous  of a cow,minerax mixture 1 kg 5-10 gm orally daily with feed,General,General,General
asking about control measure of swarming catterpiller,told him spray desis or roshonplus @ 2ml/lit of water,General,General,General
asking about treatment of diarrhoea in duck.,suggested to administer lixen or tetracycline powder twice daily for 5 days.,General,General,General
asking about control measure of panama disease in banana,told him spray blitox 50 2g/lit of water,General,General,General
asking about treatment for production increase,told him spray green harvester 25g/lit of water,General,General,General
asking for control of gandhi bug,recommended him to apply  malathion 5% dust,General,General,General
asking about cultural practices,"recommended to farmer
seed treatment - captan @ 2 g per kg seed
fertilizer- urea- 17 kg ssp- 23 kg mop- 8 kg per bigha",General,General,General
asking about seed treatment,recommended to treat the seed with captan @ 2 g per kg of seed,General,General,General
asking about the fertilizer dose for peas,"recommended to apply urea 4 kg /bigha,ssp 40 kg/bigha,mop 2 kg/bigha.",General,General,General
asking about fertilizer does of mustard,"recommended that urea@12kg/bigha,ssp@15kg/bigha,mop@11kg/bigha",General,General,General
asking about the cultural practices in pumpkin,"seed rate - 1 kg / bigha 
(row to row *plant to plant =3m *1m )
fertilizer doses - 21 kg urea , 60 kg ssp , 17 kg mop / bigha",General,General,General
asking about the fertilizer dose of pumpkin,"suggested him to apply urea- 20 kg, ssp- 70 kg and mop- 15 kg per bigha",General,General,General
asking about the varities of rice,"told him about the arise , ars-2",General,General,General
asking about the control measure of banana weevil,suggested him to spray malathion @2ml/ lit of water and furadon @40 gm/plant,General,General,General
asking about ulcer disease of fish,recommended that application of cifax or sukrena ws @400 to 450ml/bigha,General,General,General
asking about the top dressing in peas,told him to apply 10kg urea at top dressing after 30 days of planting,General,General,General
asking for availability of mushroom,suggested him to consult kahikuchi horticultural research station,General,General,General
asking to control insects in brinjal,suggested him to spray malathion 50 ec @ 2ml/lit of water and planofix @ 2gm/5 lit of water,General,General,General
asking about the control measure wilt in banana,suggested him to spray blitox @2gm/ lit of water,General,General,General
asking about treatment of low milk production in cow.,suggested to mix 60 ml vimeral with 1 liter ostovet and then administer @ 50 ml twice daily to increase milk production in cow.,General,General,General
query regarding micronutrient in mustard,advised to apply multiplex oilseed special @ 4gm/lit,General,General,General
asking about the fertilizer dose banana,"suggested that recommended fertilizer dose is like-urea @240 kg/plant, ssp @210 kg/plant,mop @550kg/plant,half dose of urea and full doses of ssp and half dose of mop after 3 months and remaining half kg of urea and mop should be applied after 6 months after first application",General,General,General
asking about market of black rice,told him contact to ngo who provide the seed,General,General,General
query regarding production of grass for cattle farming,"maize ,para ,napier , etc can be produce in grassland depending upon the size & shape of land . silage making can be practise for scarcity period",General,General,General
asking about control measure of root rot in tomato,told him spray indofil 2ml/lit of water,General,General,General
asking about the fertilizer dose for pea,"recommended to apply urea 4 kg/bigha,ssp 40 kg/bigha,mop 3 kg/bigha,dry cowdung 3-4 cart load.",General,General,General
asking about source of seed of rice,told him contact to near by kvk,General,General,General
asking about the control measure for bacterial blight in french bean.,recommended to spray cristocycline @ 1 gram/5 lit water alternately with blitox 50 @ 2 gram/lit water.,General,General,General
asking about the fertilizer doses in mustard,"told him to apply 12 kg urea , 30 kg ssp , 3 kg mop / bigha + 1.5kg borax / bigha",General,General,General
asking about boro rice sowing time,told him oct-nov,General,General,General
query regarding vaccine in swine,swine fever vaccine can be given to piglet at 2 month of age,General,General,General
query regarding grass production for cattle farming,"napier ,bajra ,para ,guinea ,leucern, barseem,dinanath etc can be cultivate as green fooder for cattle farming",General,General,General
asking about cultural practices of strawberry,"recommended to farmer 
variety- majestic, chandler, sujatha
spacing- 30 cm x 25 cm
fertilizer and manure- fym- 250 g urea- 100 g ssp- 150 g mop-80 g/plant
mulching- mulched the seed bed with black polythene sheet to avoid weed infestation during the entire crop period.
watering- water the seedling at daily basis for good establishment with watering cane.",General,General,General
asking about source of good breed duckling.,"suggested to contact with s.i.r.d.khanapara,guwahati-22,for good breed ducklings.",General,General,General
asking about cultural practices of papaya,"recommended to farmer that 
seed rate- 300 g per bigha 
variety- red lady, coorg honey dew and surya
spacing- 1.8 m x 1.8 m
manure- fym and vermicompost",General,General,General
asking about the fertilizer dose for maize.,"recommended to apply urea 9 kg/bigha as basal dose(top dress 9 kg urea after 30 days),ssp 33 kg/bigha,mop 8 kg/bigha,dry cowdung 3-4 cart load.",General,General,General
query regarding top dressing in mustard,suggested him to top dress with urea @ 4kg/bigha mixing with moist soil,General,General,General
asking about the nutrient management in potato,told him to spray mahafol @ 2ml / l of water,General,General,General
query regarding aholstein fresian breed,"liver tonic calcium supplement should be incorporate in feed / ad libitum green grass, clean water should be provide to the animal . smooth guord & papaya can be given with diet / floraboost to improve digestive capacity of the cattle",General,General,General
asking about the control of downy mildew in cauliflower,told him to spray saaf @ 2gm / l of water,General,General,General
query regarding ulceration in mouth,"soke the area with betadine solution ,interban cream fortopical use bid. infuse normal saline , inject fortious 30 ml ,anistamine 10 ml as directed",General,General,General
asking about the fertilizer dose of arecanut,"suggested that recommended fertilizer dose is like-urea- 225 gm, ssp-250, mop- 275 gm, and borax - 50 gm per plant",General,General,General
query regarding fertilizer dose of pointed gourd,"advised to apply fym @ 3t, urea @ 23kg , ssp 42@  kg and mop 11kg as basal application",General,General,General
asking about the  some variety name of papaya,"suggested about the variety like-pusa nanha, pusa dwarf, pusa delicious etc",General,General,General
query regarding to control insects in gourds,suggested him to spray malathion 50ec @ 2ml/lit of water and spray planofix @ 2ml/5 lit of water to increase fruits,General,General,General
control of root rot in tomato,told him to spray roshan plus @ 2ml / l of water,General,General,General
asking about fertilizer dose,recommended to apply urea-15 kg ssp- 20 kg mop- 9 kg borax -5 kg per bigha,General,General,General
query regarding a local cattle having 1st lactation,"improve the managemental practice providing ostocalcium & vimeral as combition  in diet, papaya & smooth guord can be given as dietary supplement to iincrease the milk quantity . go for a.i. after 3 month to get optimum milk production in 2 nd lactation",General,General,General
query regarding cauliflower,recommended that application of malathione 50 ec @2ml/lit of water,General,General,General
asking about the number of plants per bigha for banana.,recommended number of plants is around 411/bigha for banana.,General,General,General
query regarding to control mustard saw fly in mustard,suggested him to spray malathion 50ec @ 2ml/lit of water,General,General,General
query regarding a piglet,inject imferon 3 ml as directed  vitaplex 5 ml orally  minerax 1 pkt-5 gm orally as directed,General,General,General
asking about the nutreint management in arecanut,told him to apply borax @ 20 gm / plant by ring method,General,General,General
asking about the control of white fly in tomato,told him to spray rogor @2ml / l of water,General,General,General
asking about nutrient management in potato,"told him spray multiplex multi-micronutrient fertilizer @ 2.5 g/lit of water.first spray to be given 30 days after sowing.
second spray to be given 30-35 days after first spray.",General,General,General
query regarding indication of mahafal in crop,the main objective of using mahafal is to increase the total production in the productive cycle of the crop,General,General,General
query regarding indication of mahafal in crop,"main indication of ""mahafal""is to get maximum yield from the crop in the productive cycle",General,General,General
asking about honey bee,told him contact to 9954219252 amrit mitra,General,General,General
asking about the way to improve pod quality in mustard.,recommended to spray green harvest crop booster @ 25 gram/10 lit water.,General,General,General
asking about cultural practices of bitter gourd,"recommended to farmer that
seed rate- 240 g per bigha 
variety- arka harit, priya and preethi 
spacing- 30 cm x 30 cm apart 2 m distance
fertilizer- urea-100 g ssp- 150 g mop-80 g per plant
season- planting is done on july and january.",General,General,General
query regarding to control foot rot in arecanut,suggested him to drench the soil with bordeaux mixture @ 10gm/lit of water and further consult kahikuchi horticultural research station,General,General,General
asking about the control measure for bud rot in arecanut.,"recommended to spray bordueax mixture(add 100 gm copper sulphate in 5 lit water,100 gm lime in 5 lit water mix it in 3 rd container for 10 lit solution).",General,General,General
query regarding ulcer disease in fish,recommended that application of sukrena ws or cifax@400 to 500ml/bigha,General,General,General
query regarding a goat  having symptoms of redness of one eye,install norflox e/e drop  on affected eye thrice in daily,General,General,General
asking about the control measure of leaf curl in tomato,suggested him to spray rogor @ 2ml/ lit of water,General,General,General
query regarding weater report of baksa district,"in the coming 5 days clear sky will prevail; no rainfall is predicted from 26th to 30th jan, 2018. the maximum temperature predicted is 25-26 °c and minimum of 13 °c. the expected morning and evening rh will be 62-76 % & 26-27 %, respectively. mostly north-easterly wind with a speed of 4-5 kmph is expected",General,General,General
nutrient deficiency in mustard.,advised to spray crop booster @ 2 gram/ liter water.,General,General,General
asking about swine fever vaccine.,"suggested to contact with biological products ,khanapara,ghy-22,for swine fever vaccine.",General,General,General
asking about sigatoka leaf spot in banana,"recommended to spray saaf @ 2gm/l water at 15 days interval
also go for cultural practices like removal of diseased leaves and cleaning the base of the plant",General,General,General
asking about the control measure of yellowing of leaf in arecanut,suggested him to apply phorate (thimate 10 g) @15 gm mixed with soil in a ring method,General,General,General
asking about nutrient deficiency in cauliflower.,suggested to spray tracel 2 @ 2 gm/liter of water for correction of nutrient deficiency in cauliflower.,General,General,General
asking about the fertilizer dose of ridge gourd,"suggested him to apply urea- 40 gm, ssp- 40 gm and mop- 80 gm per ridge",General,General,General
asking about wilting problem in arecanut,suggested to soil drenching with bordeaux mixture 1%,General,General,General
asking about control measure of bud rot and foot rot,suggested to clean the infected portion of the palm and spray bavistin @ 2 g per lit of water at top of the palm for controlling bud rot and for controlling foot rot apply neem cake @ 100-200 g per palm per month followed by destroying the affected palm.,General,General,General
query regarding some chicken,enrocin 1 gm / lits of water,General,General,General
asking about the leaf rot of betel vine.,"recommended to spray bordueax mixture(add 100 gm copper sulphate in 5 lit water,100 gm lime in 5 lit water mix it in 3 rd container for 10 lit solution) 3 sprays at 7 days interval.",General,General,General
asking about control measure of aphids in tomato,told him spray tricel or rogor @ 2ml/lit of water,General,General,General
query regarding swine fever vaccine,swine fever vaccine should be given at three month of age,General,General,General
asking about the piggery,expert not avaialable,General,General,General
asking about the control measure of root rot in cauliflower,suggested him to spray contaf @1ml/ lit of water,General,General,General
